Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,94.65,-34.52,0.0,top
C10,10uF,C_0805_2012Metric,148.65,-136.52,0.0,top
C11,10uF,C_0805_2012Metric,175.65,-32.52,0.0,top
C12,100nF,C_0603_1608Metric,175.65,-34.52,0.0,top
C13,10uF,C_0805_2012Metric,175.65,-136.52,0.0,top
C2,10uF,C_0805_2012Metric,94.65,-32.52,0.0,top
C3,100uF,C_1206_3216Metric,57.65,-44.52,180.0,top
C4,10uF,C_0805_2012Metric,94.65,-136.52,0.0,top
C5,10uF,C_0805_2012Metric,121.65,-32.52,0.0,top
C6,100nF,C_0603_1608Metric,121.65,-34.52,0.0,top
C7,10uF,C_0805_2012Metric,121.65,-136.52,0.0,top
C8,10uF,C_0805_2012Metric,148.65,-32.52,0.0,top
C9,100nF,C_0603_1608Metric,148.65,-34.52,0.0,top
D1,LED,LED_PLCC_2835,85.65,-58.52,180.0,top
D10,LED,LED_PLCC_2835,94.65,-67.52,180.0,top
D11,LED,LED_PLCC_2835,94.65,-76.52,180.0,top
D12,LED,LED_PLCC_2835,94.65,-85.52,180.0,top
D13,LED,LED_PLCC_2835,94.65,-94.52,180.0,top
D14,LED,LED_PLCC_2835,94.65,-103.52,180.0,top
D15,LED,LED_PLCC_2835,94.65,-112.52,180.0,top
D16,LED,LED_PLCC_2835,94.65,-121.52,180.0,top
D17,LED,LED_PLCC_2835,103.65,-58.52,180.0,top
D18,LED,LED_PLCC_2835,103.65,-67.52,180.0,top
D19,LED,LED_PLCC_2835,103.65,-76.52,180.0,top
D2,LED,LED_PLCC_2835,85.65,-67.52,180.0,top
D20,LED,LED_PLCC_2835,103.65,-85.52,180.0,top
D21,LED,LED_PLCC_2835,103.65,-94.52,180.0,top
D22,LED,LED_PLCC_2835,103.65,-103.52,180.0,top
D23,LED,LED_PLCC_2835,103.65,-112.52,180.0,top
D24,LED,LED_PLCC_2835,103.65,-121.52,180.0,top
D25,LED,LED_PLCC_2835,112.65,-58.52,180.0,top
D26,LED,LED_PLCC_2835,112.65,-67.52,180.0,top
D27,LED,LED_PLCC_2835,112.65,-76.52,180.0,top
D28,LED,LED_PLCC_2835,112.65,-85.52,180.0,top
D29,LED,LED_PLCC_2835,112.65,-94.52,180.0,top
D3,LED,LED_PLCC_2835,85.65,-76.52,180.0,top
D30,LED,LED_PLCC_2835,112.65,-103.52,180.0,top
D31,LED,LED_PLCC_2835,112.65,-112.52,180.0,top
D32,LED,LED_PLCC_2835,112.65,-121.52,180.0,top
D33,LED,LED_PLCC_2835,121.65,-58.52,180.0,top
D34,LED,LED_PLCC_2835,121.65,-67.52,180.0,top
D35,LED,LED_PLCC_2835,121.65,-76.52,180.0,top
D36,LED,LED_PLCC_2835,121.65,-85.52,180.0,top
D37,LED,LED_PLCC_2835,121.65,-94.52,180.0,top
D38,LED,LED_PLCC_2835,121.65,-103.52,180.0,top
D39,LED,LED_PLCC_2835,121.65,-112.52,180.0,top
D4,LED,LED_PLCC_2835,85.65,-85.52,180.0,top
D40,LED,LED_PLCC_2835,121.65,-121.52,180.0,top
D41,LED,LED_PLCC_2835,130.65,-58.52,180.0,top
D42,LED,LED_PLCC_2835,130.65,-67.52,180.0,top
D43,LED,LED_PLCC_2835,130.65,-76.52,180.0,top
D44,LED,LED_PLCC_2835,130.65,-85.52,180.0,top
D45,LED,LED_PLCC_2835,130.65,-94.52,180.0,top
D46,LED,LED_PLCC_2835,130.65,-103.52,180.0,top
D47,LED,LED_PLCC_2835,130.65,-112.52,180.0,top
D48,LED,LED_PLCC_2835,130.65,-121.52,180.0,top
D49,LED,LED_PLCC_2835,139.65,-58.52,180.0,top
D5,LED,LED_PLCC_2835,85.65,-94.52,180.0,top
D50,LED,LED_PLCC_2835,139.65,-67.52,180.0,top
D51,LED,LED_PLCC_2835,139.65,-76.52,180.0,top
D52,LED,LED_PLCC_2835,139.65,-85.52,180.0,top
D53,LED,LED_PLCC_2835,139.65,-94.52,180.0,top
D54,LED,LED_PLCC_2835,139.65,-103.52,180.0,top
D55,LED,LED_PLCC_2835,139.65,-112.52,180.0,top
D56,LED,LED_PLCC_2835,139.65,-121.52,180.0,top
D57,LED,LED_PLCC_2835,148.65,-58.52,180.0,top
D58,LED,LED_PLCC_2835,148.65,-67.52,180.0,top
D59,LED,LED_PLCC_2835,148.65,-76.52,180.0,top
D6,LED,LED_PLCC_2835,85.65,-103.52,180.0,top
D60,LED,LED_PLCC_2835,148.65,-85.52,180.0,top
D61,LED,LED_PLCC_2835,148.65,-94.52,180.0,top
D62,LED,LED_PLCC_2835,148.65,-103.52,180.0,top
D63,LED,LED_PLCC_2835,148.65,-112.52,180.0,top
D64,LED,LED_PLCC_2835,148.65,-121.52,180.0,top
